"№ организации п/п","№ торгового объекта организации п/п","Полное наименование организации розничной торговли","Сокращеенное наименование лицензиата розничной торговли",ИНН,ОГРН,"Адрес организации розничной торговли","Адрес обособленного подразделения организации розничной торговли","КПП обособленного подразделения","Приказ Минпромторга России о включении организации розничной торговли в Перечень","Дата включения организации розничной торговли в Перечень"
50,1,"Общество с ограниченной ответственностью ""Массимо Дутти""","ООО ""Массимо Дутти""",7717555256,1067746461144,,"Республиа Татарстан, просп. Победы, д. 141",166045001,"от 25.05.2018 №2007",28.05.2018
50,2,"Общество с ограниченной ответственностью ""Массимо Дутти""","ООО ""Массимо Дутти""",7717555256,1067746461144,,"Волгоградская область, г. Волгоград, ул. Рабоче-Крестьянская, д. 9Б",346045002,"от 25.05.2018 №2007",28.05.2018
50,3,"Общество с ограниченной ответственностью ""Массимо Дутти""","ООО ""Массимо Дутти""",7717555256,1067746461144,,"Московская область, г. Красногорск, ул. Международная, д. 12",502445002,"от 06.04.2018 №1307",09.04.2018
50,4,"Общество с ограниченной ответственностью ""Массимо Дутти""","ООО ""Массимо Дутти""",7717555256,1067746461144,,"Ростовская область, г. Ростов-на-Дону, просп. Михаила Нагибина, 32/2",616145001,"от 25.05.2018 №2007",28.05.2018
50,5,"Общество с ограниченной ответственностью ""Массимо Дутти""","ООО ""Массимо Дутти""",7717555256,1067746461144,,"Самарская область, г. Самара, п. Мехзавод, 24-й километр, д. 5",631345001,"от 25.05.2018 №2007",28.05.2018
50,6,"Общество с ограниченной ответственностью ""Массимо Дутти""","ООО ""Массимо Дутти""",7717555256,1067746461144,,"Свердловская область, г. Екатеринбург, ул. 8 Марта, д. 46",667145001,"от 25.05.2018 №2007",28.05.2018
51,1,"Общество с ограниченной ответственностью ""Ойшо СНГ""","ООО ""Ойшо СНГ""",7717574107,1067760098856,,"Республиа Татарстан, просп. Победы, д. 141",166045001,"от 25.05.2018 №2007",28.05.2018
51,2,"Общество с ограниченной ответственностью ""Ойшо СНГ""","ООО ""Ойшо СНГ""",7717574107,1067760098856,,"Калининградская область, г. Калининград, ул. Театральная, д. 30",390632002,"от 25.05.2018 №2007",28.05.2018
51,3,"Общество с ограниченной ответственностью ""Ойшо СНГ""","ООО ""Ойшо СНГ""",7717574107,1067760098856,,"Московская область, г. Красногорск, ул. Международная, д. 12",502445002,"от 06.04.2018 №1307",09.04.2018
51,4,"Общество с ограниченной ответственностью ""Ойшо СНГ""","ООО ""Ойшо СНГ""",7717574107,1067760098856,,"Ростовская область, г. Ростов-на-Дону, просп. Михаила Нагибина, 32/2",616132001,"от 25.05.2018 №2007",28.05.2018
